id;country;currency
239;Uganda;Uganda Shilling
240;Ukraine;Ukraine Hryvnia
241;United Arab Emirates;United Arab Emirates Dirham
242;United Kingdom;Great Britain Pound
243;United Kingdom;Great Britain Pound
244;United States;USA Dollar
245;United States Minor Outlying Islands;USA Dollar
246;Uruguay;Uruguay Peso
247;USSR;Russia Rouble
248;Uzbekistan;None
249;Vanuatu;Vanuatu Vatu
250;Vatican City State;Euro
251;Venezuela, Bolivarian Republic Of;
252;Viet Nam;Vietnam Dong
253;Virgin Islands (British);USA Dollar
254;Virgin Islands (US);USA Dollar
255;Wallis And Futuna;CFP Franc
256;Western Sahara;Morocco Dirham
257;Yemen;Yemen Rial
258;Zambia;Zambia Kwacha
259;Zimbabwe;USA Dollar, Great Britain Pound, Euro
260;land Islands;Euro
